amount,time,transaction_type,device,location,merchant,card_type,customer_age,num_prev_transactions,is_fraud
43673,10,offline,mobile,india,flipkart,credit,65,44,0
13517,2,online,mobile,india,local_shop,debit,32,43,0
40857,0,offline,laptop,foreign,amazon,credit,64,17,0
9792,5,online,laptop,foreign,amazon,credit,21,23,0
45858,17,online,mobile,india,amazon,credit,57,46,0
6973,23,offline,laptop,india,local_shop,debit,33,39,0
5775,9,offline,laptop,india,amazon,debit,45,41,0
261,4,online,laptop,india,local_shop,debit,33,6,0
37165,22,online,mobile,india,walmart,credit,21,49,0
26657,9,online,mobile,india,local_shop,debit,62,47,0
33863,11,online,laptop,foreign,walmart,credit,43,19,1
32706,1,offline,laptop,india,amazon,debit,45,26,0
11634,12,offline,mobile,india,walmart,debit,49,5,0
29227,7,offline,mobile,foreign,local_shop,credit,62,26,0
40497,1,offline,laptop,india,flipkart,debit,19,8,0
25951,19,offline,laptop,india,walmart,credit,48,44,0
1116,0,online,mobile,india,walmart,credit,20,30,0
24353,4,offline,mobile,india,amazon,debit,25,20,0
24376,8,offline,mobile,india,local_shop,credit,41,25,0
23347,16,offline,laptop,foreign,walmart,credit,32,39,0
24400,8,offline,mobile,india,walmart,debit,60,47,0
8629,10,offline,laptop,foreign,walmart,debit,48,44,0
17362,14,online,mobile,foreign,walmart,credit,26,12,0
9368,23,online,mobile,india,flipkart,debit,56,48,0
21371,5,online,mobile,foreign,local_shop,credit,62,22,1
12285,22,offline,mobile,india,amazon,credit,19,19,0
21343,2,online,laptop,foreign,amazon,debit,25,36,1
39199,16,online,laptop,foreign,flipkart,debit,24,27,1
8671,4,offline,mobile,india,local_shop,debit,61,16,0
40076,11,offline,laptop,india,walmart,debit,68,27,0
38144,17,offline,mobile,india,flipkart,credit,56,40,0
49316,13,online,mobile,india,local_shop,credit,59,1,0
49084,20,online,mobile,india,walmart,debit,33,24,0
40874,23,offline,mobile,foreign,flipkart,debit,52,49,0
2668,10,offline,laptop,foreign,local_shop,credit,47,40,0
2127,8,online,mobile,foreign,amazon,credit,27,5,0
2795,1,online,mobile,foreign,amazon,credit,55,10,0
48290,11,offline,laptop,foreign,local_shop,credit,35,37,0
5358,2,offline,mobile,foreign,amazon,debit,67,5,0
22102,2,online,mobile,foreign,local_shop,credit,22,44,1
39604,0,offline,mobile,india,walmart,credit,46,10,0
33259,7,online,laptop,india,local_shop,debit,56,13,0
14086,21,online,mobile,foreign,walmart,credit,51,1,0
12766,7,online,laptop,foreign,flipkart,credit,60,39,0
38760,10,online,mobile,india,local_shop,debit,62,2,0
3661,8,offline,mobile,india,flipkart,debit,40,34,0
26954,4,offline,laptop,india,amazon,debit,22,32,0
39052,13,online,mobile,india,walmart,credit,47,23,0
22762,2,online,mobile,foreign,local_shop,credit,23,18,1
8492,20,online,laptop,india,flipkart,debit,63,17,0
30635,4,online,laptop,foreign,walmart,debit,61,48,1
13167,4,online,laptop,foreign,walmart,credit,21,23,0
48133,18,offline,laptop,foreign,amazon,debit,46,44,0
23699,13,offline,laptop,india,amazon,debit,40,34,0
35322,3,offline,mobile,india,walmart,debit,23,0,0
11937,12,offline,laptop,foreign,walmart,credit,49,35,0
14139,9,online,mobile,foreign,local_shop,credit,59,24,0
30918,17,online,mobile,foreign,walmart,credit,35,44,1
19215,7,online,mobile,india,local_shop,credit,32,48,0
11065,7,online,laptop,foreign,walmart,credit,57,42,0
24638,6,online,laptop,india,amazon,credit,49,33,0
42630,7,offline,mobile,foreign,local_shop,debit,26,24,0
5156,13,online,laptop,foreign,flipkart,credit,54,15,0
32582,18,offline,laptop,foreign,amazon,credit,27,33,0
47816,5,offline,laptop,india,local_shop,debit,37,28,0
8210,0,offline,laptop,india,local_shop,credit,23,18,0
13873,22,offline,mobile,foreign,flipkart,credit,65,22,0
27366,14,online,mobile,india,local_shop,debit,20,18,0
17512,0,offline,laptop,foreign,walmart,debit,59,24,0
33370,16,offline,mobile,india,flipkart,debit,28,15,0
7010,0,offline,laptop,india,amazon,credit,60,8,0
45553,14,online,laptop,india,amazon,debit,34,0,0
25546,22,online,mobile,foreign,walmart,credit,49,41,1
306,1,online,mobile,india,amazon,credit,21,18,0
21618,13,offline,mobile,india,local_shop,credit,21,32,0
22461,20,offline,laptop,foreign,local_shop,credit,34,33,0
23519,7,online,mobile,foreign,walmart,debit,58,15,1
48802,7,offline,laptop,foreign,amazon,debit,36,43,0
41623,18,online,mobile,foreign,amazon,credit,22,39,1
45251,6,online,mobile,india,walmart,debit,49,17,0
22503,18,offline,laptop,india,flipkart,credit,39,33,0
18241,5,offline,laptop,india,amazon,credit,23,24,0
14920,5,offline,laptop,india,flipkart,credit,52,44,0
40442,2,offline,laptop,india,amazon,debit,39,5,0
6474,6,online,laptop,foreign,amazon,credit,18,20,0
1778,18,online,laptop,india,amazon,credit,37,5,0
33927,7,online,laptop,india,amazon,debit,39,31,0
16298,9,online,laptop,india,local_shop,debit,65,40,0
10014,19,online,mobile,foreign,flipkart,debit,28,47,0
27990,14,offline,laptop,foreign,flipkart,debit,30,42,0
22399,14,online,laptop,india,amazon,credit,59,38,0
43685,0,online,mobile,foreign,amazon,debit,20,30,1
43789,19,online,laptop,foreign,flipkart,credit,26,41,1
42657,6,offline,mobile,foreign,local_shop,debit,29,9,0
49180,3,offline,mobile,foreign,walmart,debit,40,29,0
44120,5,offline,laptop,foreign,walmart,debit,31,17,0
2793,0,offline,mobile,foreign,flipkart,debit,50,23,0
29567,4,online,laptop,foreign,amazon,debit,35,8,1
29823,22,online,mobile,india,amazon,debit,66,30,0
46799,0,offline,mobile,india,local_shop,credit,58,14,0
3727,3,offline,mobile,foreign,walmart,debit,26,3,0
26039,21,online,laptop,india,local_shop,debit,40,39,0
49025,1,online,laptop,india,walmart,debit,27,8,0
43041,9,offline,mobile,foreign,flipkart,debit,36,44,0
21934,4,offline,mobile,india,walmart,credit,64,8,0
18147,9,offline,laptop,foreign,local_shop,debit,22,25,0
26205,0,offline,laptop,foreign,local_shop,debit,64,3,0
10330,21,online,mobile,foreign,local_shop,debit,69,16,0
15807,5,online,mobile,india,flipkart,debit,40,15,0
22076,12,online,laptop,india,walmart,credit,47,14,0
44362,14,offline,laptop,india,walmart,debit,42,34,0
23876,3,offline,laptop,india,local_shop,credit,45,4,0
30180,12,online,laptop,foreign,walmart,debit,51,4,1
1406,23,online,laptop,foreign,amazon,credit,62,19,0
6876,19,online,mobile,india,amazon,credit,65,14,0
27351,23,online,laptop,foreign,amazon,debit,64,17,1
9574,14,offline,mobile,foreign,walmart,debit,42,46,0
40394,7,online,laptop,india,flipkart,credit,27,1,0
22059,4,online,mobile,foreign,flipkart,credit,31,28,1
5630,14,online,laptop,india,flipkart,debit,59,12,0
29420,3,online,laptop,foreign,flipkart,credit,63,3,1
3848,11,online,mobile,india,amazon,credit,47,41,0
32068,12,online,mobile,foreign,amazon,credit,58,44,1
32662,1,online,laptop,foreign,local_shop,debit,42,9,1
13645,18,offline,laptop,india,walmart,credit,31,30,0
763,18,offline,laptop,india,walmart,credit,52,40,0
34866,3,offline,laptop,india,flipkart,credit,69,7,0
8094,3,offline,laptop,india,amazon,debit,65,2,0
28121,10,online,mobile,foreign,flipkart,debit,51,47,1
30403,4,offline,mobile,foreign,local_shop,credit,27,45,0
3404,19,offline,laptop,india,walmart,debit,52,8,0
46676,10,online,mobile,foreign,walmart,credit,28,29,1
39453,9,online,mobile,india,flipkart,debit,28,10,0
17775,7,offline,mobile,india,local_shop,debit,38,34,0
44517,5,offline,laptop,foreign,walmart,credit,38,36,0
24038,5,online,mobile,foreign,local_shop,debit,39,41,1
23764,7,offline,laptop,india,local_shop,debit,62,12,0
1736,22,online,mobile,india,flipkart,debit,24,35,0
20180,14,online,laptop,india,amazon,credit,34,12,0
27828,13,online,mobile,foreign,flipkart,debit,19,11,1
49950,10,online,laptop,foreign,amazon,debit,29,36,1
26836,11,offline,laptop,foreign,local_shop,credit,59,9,0
28773,12,online,mobile,foreign,amazon,debit,35,8,1
37605,7,online,laptop,india,local_shop,debit,28,6,0
47423,17,offline,laptop,india,walmart,debit,33,1,0
46745,0,online,laptop,india,walmart,debit,66,22,0
954,14,offline,laptop,india,walmart,debit,68,38,0
24648,7,offline,laptop,india,flipkart,credit,35,39,0
38723,10,offline,laptop,india,flipkart,credit,52,38,0
7492,11,online,laptop,foreign,local_shop,debit,43,20,0
46817,11,offline,laptop,foreign,walmart,debit,33,22,0
21656,3,offline,mobile,india,flipkart,debit,23,28,0
38659,15,online,mobile,india,walmart,credit,61,13,0
26409,3,offline,laptop,foreign,flipkart,credit,60,25,0
22019,4,offline,laptop,foreign,amazon,debit,64,4,0
5031,23,offline,mobile,foreign,amazon,debit,64,30,0
33070,4,offline,mobile,foreign,walmart,credit,65,24,0
44315,7,offline,mobile,india,local_shop,debit,59,30,0
12788,9,online,laptop,india,flipkart,credit,29,49,0
25442,16,offline,mobile,india,flipkart,credit,30,19,0
37257,8,offline,laptop,india,amazon,debit,21,43,0
2427,21,online,laptop,india,amazon,credit,56,16,0
40872,18,online,mobile,foreign,local_shop,debit,19,44,1
40645,13,online,laptop,india,local_shop,debit,43,1,0
297,7,offline,laptop,foreign,local_shop,debit,44,24,0
23609,8,online,laptop,india,walmart,debit,44,12,0
34798,21,offline,laptop,india,amazon,debit,32,38,0
44642,10,offline,mobile,india,walmart,debit,25,27,0
15187,22,online,mobile,india,amazon,credit,24,41,0
22771,0,online,laptop,india,amazon,credit,64,5,0
25284,13,offline,laptop,foreign,flipkart,credit,63,2,0
27948,4,online,mobile,foreign,amazon,credit,57,34,1
42207,20,offline,laptop,foreign,amazon,debit,29,17,0
20766,13,online,mobile,india,walmart,credit,30,10,0
44457,3,online,laptop,india,amazon,credit,60,19,0
15808,21,online,laptop,foreign,walmart,credit,34,4,0
26470,22,offline,mobile,india,local_shop,debit,34,18,0
49911,0,online,mobile,india,amazon,credit,53,21,0
2911,21,offline,mobile,foreign,amazon,debit,38,18,0
47111,22,offline,mobile,india,walmart,credit,25,46,0
6646,18,offline,laptop,foreign,local_shop,debit,22,15,0
34854,7,offline,mobile,india,flipkart,debit,43,23,0
30306,14,online,laptop,foreign,local_shop,credit,33,40,1
41206,20,offline,mobile,india,walmart,debit,53,3,0
11511,14,offline,mobile,india,local_shop,debit,45,14,0
3011,8,online,laptop,foreign,walmart,credit,46,24,0
1834,20,offline,mobile,india,walmart,credit,64,43,0
18327,8,online,mobile,india,flipkart,credit,29,34,0
8780,9,offline,mobile,foreign,amazon,debit,54,13,0
19460,19,online,mobile,india,walmart,debit,47,48,0
18443,20,offline,laptop,foreign,walmart,debit,40,18,0
5859,8,online,laptop,india,flipkart,credit,33,37,0
23178,2,offline,mobile,india,walmart,debit,31,35,0
35253,19,offline,mobile,india,amazon,debit,27,6,0
11211,10,online,mobile,india,flipkart,debit,24,29,0
37604,5,online,laptop,foreign,amazon,debit,62,18,1
1902,1,online,laptop,india,amazon,debit,69,48,0
8255,6,online,laptop,foreign,flipkart,debit,54,24,0
8220,17,offline,laptop,india,walmart,debit,46,15,0
39484,1,offline,mobile,india,amazon,credit,20,46,0
47125,16,online,mobile,india,amazon,credit,32,39,0
47354,10,offline,mobile,india,amazon,credit,53,7,0
22018,11,online,laptop,foreign,amazon,debit,64,17,1
20545,18,online,mobile,foreign,flipkart,debit,63,27,1
30406,21,offline,laptop,foreign,flipkart,credit,69,15,0
16746,23,offline,laptop,foreign,local_shop,debit,36,18,0
46943,6,offline,mobile,india,local_shop,credit,30,41,0
31165,19,offline,mobile,foreign,amazon,debit,59,16,0
25299,5,offline,mobile,foreign,walmart,debit,38,44,0
42076,20,offline,laptop,india,amazon,credit,54,12,0
16471,23,offline,laptop,india,walmart,credit,44,6,0
11935,0,online,mobile,india,amazon,credit,69,26,0
46036,16,online,mobile,india,local_shop,credit,46,9,0
2149,10,online,laptop,foreign,local_shop,credit,37,33,0
31716,21,online,mobile,foreign,walmart,debit,42,35,1
38291,17,online,laptop,india,amazon,debit,23,24,0
47457,20,offline,laptop,india,walmart,debit,53,5,0
21032,16,online,mobile,india,local_shop,credit,19,23,0
29955,6,online,mobile,foreign,amazon,credit,39,17,1
7258,16,online,mobile,foreign,amazon,credit,49,22,0
43116,19,online,mobile,india,walmart,credit,33,5,0
7500,8,online,laptop,india,flipkart,credit,35,28,0
42742,16,online,laptop,foreign,walmart,credit,22,24,1
15251,19,online,laptop,india,local_shop,debit,53,16,0
1254,21,offline,mobile,india,local_shop,debit,47,45,0
4599,21,offline,laptop,foreign,local_shop,debit,62,23,0
6395,7,online,mobile,india,local_shop,debit,36,10,0
12283,16,offline,mobile,foreign,local_shop,debit,40,25,0
29399,6,offline,mobile,india,flipkart,credit,51,33,0
12974,0,offline,mobile,india,amazon,credit,30,27,0
32811,12,offline,mobile,foreign,walmart,credit,60,2,0
5639,22,online,mobile,foreign,walmart,credit,46,10,0
42505,18,offline,laptop,india,local_shop,credit,53,37,0
48454,23,offline,mobile,foreign,walmart,credit,39,13,0
2657,18,offline,laptop,india,local_shop,debit,69,25,0
38460,16,online,laptop,india,flipkart,credit,69,47,0
16582,12,online,mobile,foreign,flipkart,credit,64,20,0
2300,15,online,mobile,india,amazon,credit,53,38,0
47040,7,online,mobile,india,flipkart,credit,26,29,0
3061,18,online,laptop,foreign,flipkart,debit,56,7,0
47075,17,online,mobile,foreign,amazon,debit,68,19,1
21457,0,online,laptop,india,walmart,credit,36,47,0
12069,13,offline,mobile,foreign,local_shop,debit,55,31,0
2969,18,offline,mobile,foreign,local_shop,debit,23,21,0
46860,14,offline,laptop,foreign,walmart,credit,69,6,0
28743,17,online,laptop,foreign,amazon,credit,64,8,1
24836,1,online,mobile,india,walmart,credit,32,44,0
38567,21,online,laptop,india,flipkart,credit,37,0,0
23428,16,online,laptop,india,amazon,credit,26,28,0
25976,17,online,laptop,foreign,amazon,debit,49,7,1
21395,5,offline,laptop,foreign,amazon,credit,21,3,0
4087,18,offline,laptop,foreign,local_shop,credit,67,34,0
22499,3,online,mobile,foreign,walmart,credit,35,2,1
46314,0,online,mobile,foreign,amazon,debit,22,44,1
34086,7,online,laptop,foreign,amazon,credit,37,39,1
20980,22,online,mobile,foreign,amazon,credit,40,6,1
4835,6,offline,mobile,india,walmart,credit,28,26,0
44164,2,online,laptop,india,local_shop,debit,54,0,0
4655,9,online,mobile,foreign,flipkart,credit,39,26,0
42014,9,online,laptop,foreign,local_shop,credit,21,15,1
40918,18,online,laptop,foreign,amazon,credit,46,37,1
45625,13,offline,mobile,india,local_shop,debit,61,6,0
19930,1,online,laptop,india,local_shop,credit,51,43,0
17529,0,online,laptop,foreign,flipkart,credit,30,22,0
6993,22,offline,laptop,foreign,walmart,credit,59,40,0
14473,22,offline,laptop,india,walmart,debit,26,10,0
47433,17,offline,laptop,india,local_shop,credit,59,41,0
3536,6,online,mobile,india,local_shop,credit,48,32,0
8854,7,online,mobile,india,walmart,credit,24,49,0
10777,0,offline,laptop,foreign,walmart,debit,21,35,0
5995,22,offline,laptop,india,flipkart,debit,36,36,0
19838,2,offline,mobile,india,amazon,credit,59,40,0
30846,23,offline,laptop,foreign,local_shop,debit,47,16,0
49477,22,offline,mobile,india,walmart,debit,48,34,0
48504,7,offline,laptop,india,local_shop,debit,52,47,0
32452,21,online,laptop,india,local_shop,credit,38,4,0
39890,14,online,laptop,foreign,walmart,credit,48,47,1
42019,4,online,laptop,india,flipkart,debit,36,31,0
5700,2,offline,laptop,foreign,local_shop,debit,48,2,0
29224,18,offline,laptop,foreign,flipkart,debit,49,46,0
27743,0,offline,laptop,india,walmart,credit,19,34,0
40864,14,offline,mobile,india,amazon,credit,69,13,0
9107,7,offline,mobile,india,amazon,debit,27,47,0
45814,1,offline,mobile,india,local_shop,debit,19,30,0
37510,2,online,laptop,foreign,walmart,debit,19,30,1
44180,23,online,laptop,india,flipkart,debit,41,16,0
40547,13,offline,laptop,india,local_shop,credit,34,23,0
8308,23,online,laptop,india,walmart,debit,49,22,0
18689,13,offline,laptop,foreign,walmart,credit,33,17,0
43584,10,online,laptop,india,flipkart,debit,33,49,0
17553,15,offline,laptop,india,local_shop,debit,63,13,0
36312,3,offline,mobile,foreign,walmart,debit,56,49,0
43625,19,online,laptop,foreign,walmart,debit,48,14,1
47302,4,online,mobile,india,walmart,debit,60,14,0
32735,21,offline,mobile,india,flipkart,credit,41,5,0
33928,20,offline,laptop,india,local_shop,debit,18,26,0
18811,13,online,laptop,india,local_shop,debit,28,14,0
3520,22,online,mobile,india,local_shop,debit,38,49,0
31316,15,offline,mobile,foreign,local_shop,credit,21,35,0
401,17,online,laptop,foreign,amazon,credit,24,7,0
45336,6,offline,laptop,india,amazon,credit,43,14,0
49858,9,offline,mobile,india,local_shop,credit,64,2,0
799,6,offline,laptop,foreign,flipkart,debit,67,46,0
290,0,offline,laptop,india,amazon,debit,29,12,0
10592,22,online,laptop,india,walmart,debit,48,40,0
35843,20,online,mobile,india,amazon,credit,34,33,0
6202,18,online,mobile,india,walmart,debit,50,23,0
19878,15,online,mobile,india,local_shop,debit,28,39,0
26741,18,online,laptop,foreign,amazon,credit,45,31,1
34684,3,online,laptop,india,flipkart,credit,49,31,0
32845,17,online,mobile,india,amazon,credit,18,29,0
23193,1,offline,mobile,india,amazon,debit,64,48,0
669,0,online,mobile,foreign,amazon,debit,45,12,0
38310,14,online,laptop,foreign,local_shop,credit,59,0,1
34763,4,offline,mobile,foreign,flipkart,debit,24,33,0
36731,19,online,mobile,foreign,amazon,credit,19,14,1
45781,10,online,laptop,india,flipkart,credit,59,43,0
7555,9,offline,laptop,foreign,local_shop,debit,41,13,0
4114,1,online,laptop,india,walmart,credit,21,28,0
11193,2,online,mobile,india,amazon,credit,61,33,0
18170,22,online,laptop,foreign,flipkart,credit,36,17,0
35877,22,offline,laptop,foreign,flipkart,debit,43,6,0
16638,11,online,mobile,foreign,local_shop,credit,28,28,0
10829,19,online,laptop,foreign,amazon,credit,57,30,0
34277,4,offline,mobile,foreign,walmart,credit,67,24,0
45117,4,online,mobile,india,flipkart,credit,60,37,0
884,5,offline,laptop,foreign,amazon,credit,28,13,0
27851,8,offline,laptop,foreign,walmart,credit,62,7,0
40964,1,online,laptop,foreign,flipkart,credit,20,26,1
40428,20,offline,laptop,india,flipkart,debit,29,1,0
12633,11,offline,laptop,foreign,walmart,debit,20,16,0
40211,2,online,laptop,india,walmart,credit,59,36,0
40074,19,offline,mobile,foreign,local_shop,debit,44,13,0
5901,21,offline,mobile,foreign,amazon,debit,66,24,0
19290,11,online,laptop,india,amazon,credit,19,29,0
49789,23,online,mobile,foreign,local_shop,debit,66,28,1
38854,16,online,laptop,india,flipkart,credit,33,19,0
29692,9,offline,mobile,india,walmart,credit,19,20,0
10747,23,online,mobile,india,walmart,credit,47,21,0
8816,13,offline,mobile,foreign,walmart,credit,37,34,0
23455,22,offline,laptop,foreign,flipkart,credit,55,36,0
22109,16,offline,mobile,foreign,walmart,debit,45,15,0
24476,17,offline,laptop,india,walmart,credit,42,49,0
45191,18,offline,mobile,foreign,local_shop,debit,49,48,0
4880,16,offline,mobile,india,flipkart,credit,27,42,0
2468,13,offline,mobile,foreign,amazon,credit,59,16,0
12139,8,online,mobile,india,local_shop,credit,57,15,0
6755,7,online,mobile,india,local_shop,debit,50,1,0
41041,1,offline,laptop,india,amazon,credit,30,3,0
4595,12,offline,laptop,foreign,local_shop,credit,58,20,0
10993,6,online,mobile,india,flipkart,credit,59,38,0
25647,8,offline,mobile,india,walmart,credit,64,33,0
22486,21,online,mobile,india,flipkart,debit,54,29,0
13503,21,online,mobile,india,amazon,credit,33,5,0
32197,10,online,laptop,india,amazon,debit,62,16,0
13221,13,offline,mobile,india,local_shop,credit,39,38,0
11066,3,offline,laptop,foreign,flipkart,debit,37,24,0
33721,12,online,mobile,foreign,flipkart,debit,67,4,1
28412,1,online,laptop,india,amazon,credit,60,4,0
49826,22,online,mobile,foreign,flipkart,credit,44,19,1
22777,4,online,mobile,foreign,amazon,debit,58,15,1
31389,10,online,laptop,india,flipkart,credit,33,40,0
31124,5,offline,mobile,india,flipkart,credit,51,36,0
42775,17,online,mobile,india,flipkart,credit,49,39,0
4877,20,offline,mobile,foreign,amazon,debit,43,8,0
29849,9,online,laptop,india,local_shop,credit,42,4,0
15438,3,offline,mobile,foreign,flipkart,credit,19,41,0
2591,8,offline,mobile,india,amazon,credit,29,1,0
27336,5,offline,laptop,foreign,amazon,debit,57,8,0
48196,1,offline,laptop,india,flipkart,credit,26,42,0
14699,16,offline,laptop,india,flipkart,debit,29,35,0
19608,4,offline,mobile,foreign,local_shop,credit,43,21,0
3151,5,online,mobile,foreign,amazon,debit,26,21,0
48847,11,offline,mobile,foreign,amazon,credit,27,21,0
49256,22,online,laptop,foreign,walmart,credit,49,33,1
21706,20,offline,mobile,foreign,amazon,debit,51,28,0
21799,9,offline,mobile,foreign,local_shop,debit,65,37,0
976,21,online,laptop,india,walmart,debit,37,45,0
32193,20,offline,laptop,foreign,walmart,credit,56,32,0
4242,5,online,laptop,india,walmart,credit,19,17,0
15302,7,online,laptop,india,flipkart,credit,18,6,0
39834,1,online,laptop,foreign,flipkart,credit,68,0,1
7179,11,online,mobile,india,amazon,debit,53,32,0
8087,12,offline,laptop,foreign,walmart,credit,41,0,0
39667,20,offline,mobile,foreign,local_shop,credit,44,23,0
29040,6,online,mobile,india,flipkart,credit,19,3,0
37333,9,offline,laptop,india,local_shop,credit,48,3,0
17119,12,offline,laptop,foreign,local_shop,credit,31,17,0
46285,16,online,laptop,foreign,flipkart,credit,19,26,1
18177,20,offline,mobile,india,flipkart,credit,46,42,0
26358,13,online,laptop,india,flipkart,debit,32,31,0
21236,1,online,laptop,india,flipkart,credit,29,32,0
8411,21,offline,laptop,india,walmart,credit,54,27,0
17314,10,offline,laptop,foreign,walmart,credit,45,41,0
14198,0,offline,laptop,foreign,walmart,credit,37,40,0
28351,18,online,mobile,foreign,walmart,debit,56,35,1
38045,20,online,mobile,foreign,amazon,debit,41,5,1
47130,3,offline,mobile,india,walmart,debit,38,15,0
26045,18,offline,laptop,india,flipkart,debit,27,33,0
25416,20,offline,laptop,foreign,local_shop,debit,63,22,0
32317,10,offline,laptop,foreign,walmart,debit,31,49,0
8408,7,online,mobile,foreign,amazon,credit,54,41,0
6049,10,offline,laptop,foreign,flipkart,debit,35,23,0
1250,3,online,laptop,foreign,local_shop,debit,41,48,0
24044,16,online,laptop,foreign,local_shop,credit,31,12,1
34799,6,offline,mobile,foreign,walmart,debit,51,17,0
9304,7,offline,laptop,foreign,local_shop,credit,29,12,0
1181,2,offline,mobile,foreign,walmart,credit,39,48,0
29405,21,online,laptop,india,walmart,debit,23,36,0
16996,1,offline,mobile,foreign,flipkart,credit,53,42,0
46275,22,offline,mobile,india,flipkart,debit,62,38,0
7905,14,online,mobile,india,amazon,debit,53,41,0
5337,23,offline,laptop,foreign,flipkart,credit,39,16,0
49811,21,online,laptop,foreign,flipkart,credit,31,14,1
20156,21,offline,mobile,india,walmart,debit,33,17,0
45643,4,online,mobile,india,flipkart,credit,53,22,0
49112,23,offline,laptop,foreign,walmart,credit,42,29,0
46052,0,offline,laptop,india,walmart,debit,49,33,0
3443,3,online,mobile,foreign,flipkart,debit,50,3,0
13600,14,online,laptop,foreign,amazon,credit,62,2,0
29475,19,offline,laptop,foreign,amazon,debit,53,6,0
9762,18,online,laptop,india,local_shop,debit,37,17,0
17064,2,online,laptop,india,local_shop,debit,35,41,0
47993,19,online,mobile,foreign,flipkart,debit,55,6,1
8230,10,online,laptop,india,amazon,debit,20,39,0
19631,16,offline,laptop,india,walmart,debit,40,5,0
1779,12,offline,mobile,india,local_shop,debit,49,21,0
3606,10,online,mobile,india,walmart,credit,62,0,0
13384,1,online,laptop,india,local_shop,debit,33,3,0
7353,8,online,laptop,india,flipkart,credit,22,45,0
19228,1,online,laptop,india,amazon,credit,21,48,0
28032,20,offline,laptop,foreign,local_shop,credit,38,49,0
9535,8,offline,mobile,india,amazon,debit,57,42,0
44178,8,online,mobile,india,walmart,debit,68,28,0
